Candidate ID=31823, InsertionTime=0.00916ns
Candidate ID=44112, InsertionTime=0.034079ns
Candidate ID=6280, InsertionTime=0.007773ns
Candidate ID=12393, InsertionTime=0.005483ns
Candidate ID=40294, InsertionTime=0.004538ns
Candidate ID=21957, InsertionTime=0.496648ns
Candidate ID=33165, InsertionTime=0.092615ns
Candidate ID=34003, InsertionTime=0.819462ns
Candidate ID=49907, InsertionTime=0.166689ns
Candidate ID=5236, InsertionTime=0.232966ns
Candidate ID=5875, InsertionTime=0.183982ns
Candidate ID=1435, InsertionTime=0.812926ns
Candidate ID=17151, InsertionTime=1.0592ns
Candidate ID=29478, InsertionTime=0.851099ns
Candidate ID=41453, InsertionTime=0.220211ns
Candidate ID=36575, InsertionTime=1.05847ns
Candidate ID=18806, InsertionTime=1.0302ns
Candidate ID=37921, InsertionTime=0.118755ns
Candidate ID=29739, InsertionTime=0.110821ns
Candidate ID=41261, InsertionTime=0.843418ns
Candidate ID=17793, InsertionTime=1.12762ns
Candidate ID=18350, InsertionTime=0.027266ns
Candidate ID=45479, InsertionTime=0.029445ns
Candidate ID=25531, InsertionTime=0.99073ns
Candidate ID=35100, InsertionTime=1.00105ns
Candidate ID=47366, InsertionTime=1.65267ns
Candidate ID=1981, InsertionTime=2.0926ns
Candidate ID=33794, InsertionTime=0.944271ns
Candidate ID=17410, InsertionTime=1.13089ns
Candidate ID=31418, InsertionTime=1.71476ns
Candidate ID=24197, InsertionTime=1.08525ns
Candidate ID=52333, InsertionTime=0.363493ns
Candidate ID=25326, InsertionTime=0.323042ns
Candidate ID=41329, InsertionTime=1.11383ns
Candidate ID=44943, InsertionTime=0.466706ns
Candidate ID=39848, InsertionTime=0.385133ns
Candidate ID=9231, InsertionTime=1.31754ns
Candidate ID=33546, InsertionTime=1.03311ns
Candidate ID=16518, InsertionTime=0.292243ns
Candidate ID=10561, InsertionTime=0.322721ns
Candidate ID=14384, InsertionTime=0.345115ns
Candidate ID=46983, InsertionTime=0.314543ns
Candidate ID=38583, InsertionTime=0.560606ns
Candidate ID=423, InsertionTime=0.68569ns
Candidate ID=37700, InsertionTime=2.29051ns
Candidate ID=10152, InsertionTime=0.570265ns
Candidate ID=40029, InsertionTime=1.36137ns
Candidate ID=19761, InsertionTime=0.678799ns
Candidate ID=34113, InsertionTime=0.447757ns
Candidate ID=23509, InsertionTime=0.665787ns
Candidate ID=45209, InsertionTime=0.584296ns
Candidate ID=53428, InsertionTime=0.752941ns
Candidate ID=43628, InsertionTime=0.494194ns
Candidate ID=41912, InsertionTime=0.536905ns
Candidate ID=34586, InsertionTime=0.749978ns
Candidate ID=1823, InsertionTime=0.688107ns
Candidate ID=862, InsertionTime=0.824426ns
Candidate ID=5505, InsertionTime=1.02911ns
Candidate ID=53034, InsertionTime=1.2467ns
Candidate ID=17311, InsertionTime=0.98969ns
Candidate ID=11728, InsertionTime=0.848297ns
Candidate ID=44732, InsertionTime=1.00655ns
Candidate ID=44606, InsertionTime=0.883454ns
Candidate ID=32966, InsertionTime=1.63845ns
Candidate ID=19293, InsertionTime=0.706395ns
Candidate ID=35850, InsertionTime=0.8542ns
Candidate ID=40709, InsertionTime=1.2307ns
Candidate ID=52812, InsertionTime=1.72124ns
Candidate ID=45811, InsertionTime=0.713478ns
Candidate ID=38928, InsertionTime=1.52346ns
Candidate ID=9932, InsertionTime=0.313969ns
Candidate ID=14355, InsertionTime=1.76006ns
Candidate ID=44006, InsertionTime=1.36626ns
Candidate ID=42478, InsertionTime=0.275163ns
Candidate ID=15133, InsertionTime=1.49622ns
Candidate ID=36823, InsertionTime=1.34693ns
Candidate ID=48665, InsertionTime=1.99893ns
Candidate ID=35038, InsertionTime=1.91882ns
Candidate ID=21580, InsertionTime=2.48543ns
Candidate ID=7521, InsertionTime=0.36968ns
Candidate ID=44059, InsertionTime=2.28655ns
Candidate ID=40634, InsertionTime=0.081587ns
Candidate ID=40987, InsertionTime=0.968886ns
Candidate ID=24528, InsertionTime=0.717689ns
Candidate ID=42445, InsertionTime=0.827131ns
Candidate ID=54071, InsertionTime=0.711794ns
Candidate ID=52671, InsertionTime=2.46942ns
Candidate ID=14018, InsertionTime=0.110872ns
Candidate ID=1698, InsertionTime=3.07498ns
Candidate ID=17465, InsertionTime=2.82492ns
Candidate ID=9603, InsertionTime=2.22102ns
Candidate ID=39186, InsertionTime=2.67268ns
Candidate ID=53421, InsertionTime=2.86792ns
Candidate ID=21112, InsertionTime=2.91577ns
Candidate ID=32261, InsertionTime=0.117331ns
Candidate ID=11883, InsertionTime=2.42596ns
Candidate ID=48887, InsertionTime=1.56737ns
Candidate ID=25721, InsertionTime=0.461787ns
Candidate ID=361, InsertionTime=1.6024ns
Candidate ID=15093, InsertionTime=1.6524ns
Candidate ID=53400, InsertionTime=0.632031ns
Candidate ID=4566, InsertionTime=0.681221ns
Candidate ID=12706, InsertionTime=1.56814ns
Candidate ID=8125, InsertionTime=0.763584ns
Candidate ID=48516, InsertionTime=2.53427ns
Candidate ID=33473, InsertionTime=2.70826ns
Candidate ID=26239, InsertionTime=0.859303ns
Candidate ID=22245, InsertionTime=0.83972ns
Candidate ID=6694, InsertionTime=1.24196ns
Candidate ID=46173, InsertionTime=3.31207ns
Candidate ID=13887, InsertionTime=3.75246ns
Candidate ID=13622, InsertionTime=3.19059ns
Candidate ID=52663, InsertionTime=0.333863ns
Candidate ID=34701, InsertionTime=1.26729ns
Candidate ID=20115, InsertionTime=0.743474ns
Candidate ID=8749, InsertionTime=3.99544ns
Candidate ID=31334, InsertionTime=3.57528ns
Candidate ID=50709, InsertionTime=1.11893ns
Candidate ID=43757, InsertionTime=1.43558ns
Candidate ID=22031, InsertionTime=2.66627ns
Candidate ID=42462, InsertionTime=0.289148ns
Candidate ID=27409, InsertionTime=2.34678ns
Candidate ID=41918, InsertionTime=3.65051ns
Candidate ID=15323, InsertionTime=0.169179ns
Candidate ID=20315, InsertionTime=1.65376ns
Candidate ID=8614, InsertionTime=2.63364ns
Candidate ID=34943, InsertionTime=2.68969ns
Candidate ID=14279, InsertionTime=1.06506ns
Candidate ID=11679, InsertionTime=0.664397ns
Candidate ID=15854, InsertionTime=0.51411ns
Candidate ID=47814, InsertionTime=0.353675ns
Candidate ID=16892, InsertionTime=0.212462ns
Candidate ID=31666, InsertionTime=1.97662ns
Candidate ID=28057, InsertionTime=1.93257ns
Candidate ID=32699, InsertionTime=3.08471ns
Candidate ID=8507, InsertionTime=0.138879ns
Candidate ID=18834, InsertionTime=3.20291ns
Candidate ID=42000, InsertionTime=3.40713ns
Candidate ID=24517, InsertionTime=1.84877ns
